ID,Type,On,Off
S1012,EMG,9:53:10,9:53:10
S1012,EMG,9:53:22,9:53:22
S1012,EMG,9:53:35,9:53:37
S1012,EMG,9:53:38,9:53:39
S1012,EMG,9:54:18,9:54:18
S1012,EMG,9:54:42,9:54:58
S1012,EMG,9:55:21,9:55:23
S1012,EMG,9:55:39,9:55:39
S1012,EMG,9:55:44,9:55:45
S1012,EMG,9:55:46,9:55:48
S1012,EMG,9:55:49,9:55:51
S1012,EMG,9:55:52,9:55:52
S1012,EMG,9:55:55,9:55:55
S1012,EMG,9:55:57,9:56:00
S1012,EMG,9:56:04,9:56:19
S1012,EMG,9:56:18,9:56:20
S1012,EMG,9:56:21,9:56:21
S1012,EMG,9:57:42,9:57:43
S1012,EMG,9:57:45,9:57:50
S1012,EMG,9:57:52,9:58:03
S1012,EMG,9:58:11,9:58:11
S1012,EMG,9:58:19,9:58:20
